relative_week,term,effect,standard_error,statistic,p_value,ci_lower,ci_upper
-12,event_m12,-0.0005509496,0.0010734235,-0.5132639391,0.6077667053,-0.0026548210,0.0015529219
-11,event_m11,0.0010468095,0.0010132937,1.0330760725,0.3015682998,-0.0009392097,0.0030328288
-10,event_m10,0.0001418118,0.0011458032,0.1237663065,0.9015003102,-0.0021039211,0.0023875448
-9,event_m9,0.0001940931,0.0009676948,0.2005726103,0.8410327766,-0.0017025538,0.0020907399
-8,event_m8,0.0002473164,0.0009969718,0.2480675733,0.8040821244,-0.0017067125,0.0022013452
-7,event_m7,0.0007256737,0.0012647122,0.5737856059,0.5661128904,-0.0017531168,0.0032044641
-6,event_m6,-0.0004448042,0.0010383166,-0.4283897624,0.6683673769,-0.0024798674,0.0015902590
-5,event_m5,-0.0008715750,0.0010666587,-0.8171076482,0.4138669126,-0.0029621877,0.0012190377
-4,event_m4,0.0002906965,0.0009537788,0.3047840050,0.7605306645,-0.0015786757,0.0021600687
-3,event_m3,0.0011664169,0.0010150450,1.1491282641,0.2505030954,-0.0008230347,0.0031558685
-2,event_m2,-0.0006322775,0.0010022975,-0.6308281811,0.5281528749,-0.0025967445,0.0013321895
0,event_p0,0.0054684587,0.0009119646,5.9963500003,0.0000000020,0.0036810410,0.0072558764
1,event_p1,0.0054713101,0.0009270810,5.9016525943,0.0000000036,0.0036542647,0.0072883555
2,event_p2,0.0054610532,0.0010214631,5.3463047618,0.0000000898,0.0034590222,0.0074630841
3,event_p3,0.0068575535,0.0011719424,5.8514423621,0.0000000049,0.0045605886,0.0091545184
4,event_p4,0.0067133284,0.0010448365,6.4252428161,0.0000000001,0.0046654864,0.0087611704
5,event_p5,0.0061091845,0.0009451148,6.4639604411,0.0000000001,0.0042567936,0.0079615754
6,event_p6,0.0068705290,0.0010551944,6.5111499204,0.0000000001,0.0048023860,0.0089386721
7,event_p7,0.0063673646,0.0009606204,6.6283880789,0.0000000000,0.0044845833,0.0082501460
8,event_p8,0.0066214676,0.0010932420,6.0567263439,0.0000000014,0.0044787526,0.0087641825
