model,metric,mean,lower,upper,valid_samples,requested_samples
lightgbm,group_auc,0.7462222222,0.6611111111,0.8333333333,200,200
lightgbm,mrr,0.6055810185,0.5101041667,0.7046990741,200,200
lightgbm,ndcg@10,0.7041039231,0.6325019914,0.7798951190,200,200
lightgbm,ndcg@5,0.6936650735,0.6193254908,0.7744849544,200,200
logistic,group_auc,0.7680555556,0.6666666667,0.8501388889,200,200
logistic,mrr,0.6483912037,0.5388657407,0.7454282407,200,200
logistic,ndcg@10,0.7359379945,0.6519279130,0.8093442955,200,200
logistic,ndcg@5,0.7161981796,0.6121139304,0.8001402681,200,200
popularity,group_auc,0.5483888889,0.4387500000,0.6472916667,200,200
popularity,mrr,0.4414467593,0.3513773148,0.5395023148,200,200
popularity,ndcg@10,0.5765286961,0.5088963598,0.6514905709,200,200
popularity,ndcg@5,0.5340806730,0.4401788843,0.6155613739,200,200
position,group_auc,0.6192222222,0.5222222222,0.7055555556,200,200
position,mrr,0.4861597222,0.4013657407,0.5764120370,200,200
position,ndcg@10,0.6123757306,0.5479198416,0.6791033083,200,200
position,ndcg@5,0.5537004911,0.4596735048,0.6295274180,200,200
