metric,numeric_value,text_value
candidate_rows,216.0000000000,
duplicate_impression_article,0.0000000000,
future_article_rows,0.0000000000,
impression_candidate_count_mismatch,0.0000000000,
impression_rows,36.0000000000,
invalid_label_rows,0.0000000000,
max_impression_time,,2026-01-17 11:00:00
min_impression_time,,2026-01-16 00:00:00
missing_article_metadata,0.0000000000,
null_article_id_rate,0.0000000000,
null_impression_id_rate,0.0000000000,
null_impression_time_rate,0.0000000000,
null_label_rate,0.0000000000,
null_published_time_rate,0.0000000000,
null_user_id_rate,0.0000000000,
unique_users,30.0000000000,
