segment,value,units,candidates,clicks,ctr,low_support
candidate_count,06-10,36,216,36,0.1666666667,False
candidate_position,0,36,36,8,0.2222222222,False
candidate_position,1,36,36,9,0.2500000000,False
candidate_position,2,36,36,10,0.2777777778,False
candidate_position,3,36,36,2,0.0555555556,False
candidate_position,4,36,36,1,0.0277777778,False
candidate_position,5,36,36,6,0.1666666667,False
device_type,1,12,72,12,0.1666666667,False
device_type,2,12,72,12,0.1666666667,False
device_type,3,12,72,12,0.1666666667,False
freshness,7d+,36,216,36,0.1666666667,False
history_length,4-9,36,216,36,0.1666666667,False
