feature,importance
category_affinity,0.7477680992318193
text_similarity,0.4905979382887372
subtitle_length,0.4689172948064007
article_type_code,0.4048859797337624
recent_text_similarity,0.3560568008880592
freshness_log_hours,0.3050389156954927
publication_age_hours,0.28656589845329455
candidate_position,0.22874342243886595
category_code,0.18438995795399535
title_length,0.14743806877993448
sentiment_score,0.09432708842922534
premium,0.07658306296781438
hour_cos,0.046406811455992326
is_subscriber,0.03514332425040198
is_sso_user,0.023131606847105097
weekday_cos,0.02016574379818298
device_type,0.017110241898464468
hour_sin,0.014687177504206297
weekday_sin,0.01267776281645666
candidate_count,0.0
history_length,0.0
